TC ID,Test Type,Test Case Name,Description,Action,Expected Result,Test Repository Path,Status,Components,User Story,Priority,Scenario Type
28,,,,"2. Navigate to GL Exposures screen","2. User should be able to view the GL Exposures screen",,,,,,
28,,,,"3. Add ZC 3339 exclusion","3. User should be able to add ZC 3339 to GL",,,,,,
28,,,,"4. Remove ZC 3339 exclusion","4. User should be able to remove ZC 3339",,,,,,
28,,,,"5. Add ZC 3339 exclusion again","5. User should be able to add ZC 3339 again",,,,,,
28,,,,"6. Navigate to Umbrella and verify final state","6. User should see ZC 3676 correctly present in final state",,,,,,
28,,,,"7. Verify no duplicate entries in Umbrella","7. User should verify no duplicate ZC 3676 entries are created",,,,,,
29,Manual,"TC29_Verify Exclusion Application with Partial Data Entry_Casualty_New Business_AC1","The objective of this test case is to validate exclusion auto-application when GL data entry is incomplete but ZC 3339 is present","1. Initiate a Domestic submission with casualty LOB with GL and Umbrella","1. User should be able to create a submission successfully","CAMS-2736 ZC 3339 and ZC 3676 Exclusion Auto-Application",Done,Casualty,CAMS-2736,Medium,Positive
29,,,,"2. Navigate to GL Exposures screen","2. User should be able to view the GL Exposures screen",,,,,,
29,,,,"3. Add ZC 3339 exclusion but skip optional fields","3. User should be able to add ZC 3339 with partial data",,,,,,
29,,,,"4. Navigate to Umbrella sub-line screen","4. User should be able to view the Umbrella sub-line screen",,,,,,
29,,,,"5. Verify ZC 3676 is still auto-added despite partial GL data","5. User should see ZC 3676 automatically added to Umbrella",,,,,,
29,,,,"6. Complete remaining GL mandatory fields","6. User should be able to complete remaining mandatory fields",,,,,,
29,,,,"7. Price the policy","7. User should be able to price successfully",,,,,,
30,Manual,"TC30_Verify Exclusion Consistency Across Multiple Changes_Casualty_New Business_AC1","The objective of this test case is to validate exclusion consistency when GL and Umbrella LOBs undergo multiple changes","1. Initiate a Domestic submission with casualty LOB with GL only","1. User should be able to create a submission with GL LOB","CAMS-2736 ZC 3339 and ZC 3676 Exclusion Auto-Application",Done,Casualty,CAMS-2736,High,Positive
30,,,,"2. Navigate to GL Exposures screen and add ZC 3339","2. User should be able to add ZC 3339 exclusion to GL",,,,,,
30,,,,"3. Return to Line selection and add Umbrella LOB","3. User should be able to add Umbrella LOB to submission",,,,,,
30,,,,"4. Navigate to Umbrella and verify ZC 3676 is auto-added","4. User should see ZC 3676 automatically added to Umbrella",,,,,,
30,,,,"5. Return to GL and modify ZC 3339 details","5. User should be able to modify ZC 3339 details in GL",,,,,,
30,,,,"6. Navigate to Umbrella and verify ZC 3676 reflects changes","6. User should verify that ZC 3676 updates to reflect GL changes",,,,,,
30,,,,"7. Fill all mandatory fields and Price the policy","7. User should be able to price successfully",,,,,,
